id,dtweet,class,Detect_language,tweet,,
7.10936847069872E+017,"إذا لاحت لهم سُوُد المنايـــا
تلقّوها أســـــوداً ناطحينـــا
وإن نهضوا فصوتهُمُ يدوّي
فتحسب أن صوتهـُمُا المنونـــا https://t.co/bKWYuy2DSQ",1,ar,"If the bonds of the men are brought to them
Receive it black
And if they rise to their loyalty, they call
Https://t.co/bkwy2dsq",,
5.71056126592205E+017,"RT @sniper_shadow11: (خطبة امير المؤمنين الخليفة ابو بكر البغدادي)

 http://t.co/lj4RoH1iAc

#الحملة_العالمية_لنصرة_الدولة_الإسلامية http://t.co/vzaTbWz5Wo",1,ar,"RT @sniper_shadow11: (The sermon of the Commander of the Faithful, Caliph Abu Bakr Al -Baghdadi)

 http://t.co/lj4roh1iac

#The International Campaign_Al -Islamic State http://t.co/vzatbwz5wo",,
7.34487727228518E+017,RT @a_yasil: @ansaryis3_4 اريد موقع ناشر اذا امكن,1,ar,RT @a_yasil: @ansaryis3_4 I want a publisher site if possible,,
5.69480516581388E+017,"Free Lecture
Topic: FIQH of TAHARAH
T: 2-4pm UK
D: Today 22/2/15
Lecturer: @anjemchoudary
Paltalk: UK Dawah
Watch via:http://t.co/uWgrLOu9o8",1,en,"Free Lecture
Topic: FIQH of TAHARAH
T: 2-4pm UK
D: Today 22/2/15
Lecturer: @anjemchoudary
Paltalk: UK Dawah
Watch via:http://t.co/uWgrLOu9o8",,
6.66021616690725E+017,"#دولة_الخلافة 
#ولاية_الأنبار 
#صور_من_أرض_الخلافة 
إحدى محطات ضخ وتنقية مياه الشرب
https://t.co/IHEU0j4LWD https://t.co/EzjhBBXasM",1,ar,"#Caliphate state
#Al -Anbar
#Pictures of the Land of the Caliphate
One of the pumping and purification of drinking water
https://t.co/Iheu0j4LWD https://t.co/ezjhbxasm",,
5.54002228789666E+017,(اصلوها فاصبروا أو لا تصبروا سواء عليكم إنما تجزون ما كنتم تعملون) [الطور:16] http://t.co/0HGgn8t8f6,1,ar,"(Ask it, be patient or do not be patient, whether you are to you, but you are doing what you were working) [Al -Tor: 16] http://t.co/0HGGN8T8F6",,
7.11923060669084E+017,"يقولون انجلدنا واحنا صغار .. والحمدلله أمورنا طيبة!
الحمدلله أنكم استطعتم تجاوز الآثار، ولكن كثير من الأطفال تعقدت حياتهم!
#جلد_العم_معيض",1,ar,"They say we are young and we are young .. Thank God our affairs are good!
Praise be to God that you were able to overcome the effects, but many children complicated their lives!
#Skin_Am_Alid",,
5.62207871874499E+017,RT @MT_SS1: 6 - بعض من تغريداتها http://t.co/v0BPN9pDpD,1,ar,RT @mt_ss1: 6 - some of its tweets http://t.co/V0BPN9PDPD,,
7.10812064185451E+017,"RT @vanishedakh: Des dons, des duaa, tout ce que vous pouvez... Puisse Allah soit satisfait de son âme. RT RT https://t.co/OwbtY9kheZ",1,fr,"RT @vanishedakh: donations, duaa, all you can ... may Allah be satisfied with his soul. RT RT https://t.co/owbty9khez",,
7.1227307877301E+017,"RT @rouzya: ما زال في نظري اعتقاد الطفولة .. إنه ملاك
تقبله الله في زمرة الصالحين الصادقين وأكرمه بالفردوس الأعلى ❤ https://t.co/OKMobkmMZj",1,ar,"RT @Rouzya: It is still in my view of childhood .. It is an angel
May God accept him in the clique of the righteous, sincere and honor him with the highest paradise ❤ https://t.co/okmobkmzj",,
5.55954436594741E+017,"Zina is a capital punishment, if you're caught or confess the Punishment will be handed down. There is NO DIFFERENCE BETWEEN A MAN & A WOMEN",1,en,"Zina is a capital punishment, if you're caught or confess the Punishment will be handed down. There is NO DIFFERENCE BETWEEN A MAN & A WOMEN",,
5.55077615988392E+017,"اللهم إني أعوذ بك من منكرات الأخلاق ، والأعمال والأهواء
http://t.co/bgfGbVYtbp",1,ar,"O Allah, I seek refuge in You from the evils of ethics and business and fancies
http://t.co/bgfgbvytbp",,
7.34420163970408E+017,RT @167_pasm: @AppleSUX @xSa3iidxx وهذا هو زوجك المصون https://t.co/LSKBAA3ERl,1,ar,RT @167_pasm: @Applesux @Xsa3IIDXx and this is your husband -reserved husband https://t.co/lskbaa3erl,,
7.11888220854866E+017,"#وكالة_اعماق
#مريغل و #الطوقلي في ريف #حلب الشمالي بعد اعادة السيطرة عليهما من قبل الدولة
https://t.co/KHiBSxSe4j https://t.co/zV59hQLv33",1,ar,"#Agency, Oaks
#Margalese and Al -Tawqali in the northern countryside of Aleppo, after re -controlled them by the state
https://t.co/khibsxse4j https://t.co/zv59hqlv33",,
6.66020314342687E+017,"RT @wafa_tnt3: اليوم مدينة #درنة شهدت اشتباكات عنيفة منذ الفجر
كان باعتقاد صحوات درنة أنهم سينهون المعركة ولكن أسآد دولتي كالعادة يسطرون الملاحم وهذا فضل >",1,ar,"RT @wafa_tnt3: Today, the city of Derna has witnessed violent clashes since dawn
It was believed that Derna's awakening was that they would end the battle, but my country, as usual, lines the epics, and this is a favor.",,
7.45568595304907E+017,"@001_xeroxxxxxx @KhalidGhazali_1 true, that is what Allah says in quran. I get what you are saying akhi.",1,en,"@001_xeroxxxxxx @KhalidGhazali_1 true, that is what Allah says in quran. I get what you are saying akhi.",,
5.64189149822214E+017,RT @MassDeception1: http://t.co/Ziyc5OQLuZ,1,hr,RT @Massdeception1: http://t.co/ziyc5oqluz,,
5.55165844003897E+017,RT @InviteToIslam: We will soon add a live chat feature on http://t.co/JW4g4kJhkY operated by the @eDialogueCenter team who have over 60 professional du'at,1,en,RT @InviteToIslam: We will soon add a live chat feature on http://t.co/JW4g4kJhkY operated by the @eDialogueCenter team who have over 60 professional du'at,,
5.64527562400231E+017,"@bstock701 if the debt is written off - then no need to pay back. if no inheritors, then the khalifah will be guarantor for all debts",1,en,"@bstock701 if the debt is written off - then no need to pay back. if no inheritors, then the khalifah will be guarantor for all debts",,
5.67949998597534E+017,Pls support and retweet @ElSomalee his previous account was suspended but Alhamdulilah he is back.,1,en,Pls support and retweet @ElSomalee his previous account was suspended but Alhamdulilah he is back.,,
5.56388278837187E+017,السلام عليكم ورحمة الله http://t.co/ZVgFbAHJdZ,1,ar,Peace be upon you and the mercy of God http://t.co/zvgfbahjdz,,
7.34524154179883E+017,"RT @MarkJournal_01: RT for support. Djazzakom Allah.

Regards,

Fjodor.",1,lb,"RT @ markjournal_01: RT FOR SUPPORT. Djazzakom Allah.

Regards,

Fjodor.",,
5.63213346863079E+017,"RT @ExposeFalsehood: @AbuAlbaraaSham above all, he's an actor  (like him); he was on Star Trek once.",1,en,"RT @ExposeFalsehood: @AbuAlbaraaSham above all, he's an actor  (like him); he was on Star Trek once.",,
5.61693761437434E+017,"RT @AbbsWinston: Zionism is NOT Judaism
#Respect http://t.co/lirm3mdOKN",1,en,"RT @AbbsWinston: Zionism is NOT Judaism
#Respect http://t.co/lirm3mdOKN",,
5.71048607815741E+017,RT @as_1870: نحتاج فريق استخباراتي في تويتر يرصد أي عملية جمع وحصر لحسابات الأنصار :),1,ar,RT @as_1870: We need a Twitter intelligence team that monitors any collection and inventory of Al -Ansar accounts :),,
6.07723554336047E+017,@_LaDy_GhUrAbA_  😨😨😨,1,ar,@_Lady_ghuraba_ 😨😨😨,,
6.65304611511665E+017,RT @BiladFransa: Le président @fhollande a annoncé la fermeture des frontières. #fusillades #Paris,1,fr,RT @biladfransa: President @Fhollande announced the closure of the borders. #fusillades #paris,,
5.64905950591844E+017,"RT @TraditionalJews: JERUSALEM: Protests on Kikar Shbbos after anti-Zionist students arrested 4 not showing up to Zionist IDF recruitment.
http://t.co/MeCWG9XCnM",1,en,"RT @TraditionalJews: JERUSALEM: Protests on Kikar Shbbos after anti-Zionist students arrested 4 not showing up to Zionist IDF recruitment.
http://t.co/MeCWG9XCnM",,
5.53519435550827E+017,"#PT Now you know how possible it is to take their lands for Allah, and annex to caliphate. Remember, Turkey will fall with takbir alone.",1,en,"#PT Now you know how possible it is to take their lands for Allah, and annex to caliphate. Remember, Turkey will fall with takbir alone.",,
5.54744914089878E+017,اللهم توفنى و انت راض عنى,1,ar,"Oh God, you died and you are satisfied with me",,
5.55034011312345E+017,"@Haliisheikh @WWitness99 #IS has way more people with knowledge, they know if this is permissible or not.",1,en,"@Haliisheikh @WWitness99 #IS has way more people with knowledge, they know if this is permissible or not.",,
5.61630795673395E+017,@takbirjihaadi http://t.co/EGLda4QY1B,1,ar,@takbirjihaadi http://t.co/eglda4qy1b,,
7.09641698511561E+017,"#The_Islamic_Sate will now be a formidable force in #Syria, all groups-JN/Ahrar etc will be given ultimatum-
EITHER BE WITH US OR AGAINST US",1,en,"#The_Islamic_Sate will now be a formidable force in #Syria, all groups-JN/Ahrar etc will be given ultimatum-
EITHER BE WITH US OR AGAINST US",,
7.34399143158899E+017,RT @turshanraja1: الجليل .... في فلسطين انها جنة الأرض https://t.co/q8xE01bZ7y,1,ar,RT @Turshanraja1: Galile,,
7.10670721416962E+017,"RT @1Ak187: ""An American Muslim is more beloved to me than an Arab Mushrik even if he came from the same mother.""

Abu Musab az Zarqawi",1,en,"RT @1Ak187: ""An American Muslim is more beloved to me than an Arab Mushrik even if he came from the same mother.""

Abu Musab az Zarqawi",,
5.71853687691325E+017,"RT @ahmadmusajibril: Never miss Fajr:
 
Its 2 Fard grants u ALLAH'S protection
Its 2 Sunnah are better than this world & what's in it
Its Koran is ever witnessed",1,en,"RT @ahmadmusajibril: Never miss Fajr:
 
Its 2 Fard grants u ALLAH'S protection
Its 2 Sunnah are better than this world & what's in it
Its Koran is ever witnessed",,
5.53551466557108E+017,"@archicivilians it is not only #JAN !
many other groups are taking share in this operation including #FSA groups .. stop this propaganda",1,en,"@archicivilians it is not only #JAN !
many other groups are taking share in this operation including #FSA groups .. stop this propaganda",,
5.53683443104891E+017,"غزوة #شارلي_ايبدو المباركة إضافةً لكونها ثأرت لحبيبنا المصطفي وشفت صدور الموحدين
كذلك هي فضحت بلاعمة السوء وكشفت كذب إدعاء حبهم لأشرف الخلق",1,ar,"The Battle of #Charlie_Yebander, in addition to being a revenge for our beloved Mustafa and the endowment of the Almohads
She also exposed the badness of badness and revealed the lie of their love for Ashraf Al -creation",,
6.66694659440276E+017,#Merkel exfiltre du stade,1,fr,#Merkel Stadium Exfiltre,,
6.62683794521104E+017,@ImranGetu4 @Al_Amriki7954 #islamicstate #caliphate #cubs,1,so,@ Imrangetu4 @_AMIRKI7954 #ISISLMAMSTATE #Caliphate #cubs,,
5.62538512587956E+017,Ay Binti Kashmir (O! Daughter of Kashmir) WELL DRINK THE BLOOD OF INDIAN ARMY  http://t.co/DIEf9gGkHk,1,en,Ay Binti Kashmir (O! Daughter of Kashmir) WELL DRINK THE BLOOD OF INDIAN ARMY  http://t.co/DIEf9gGkHk,,
5.62726925509362E+017,"RT @katfqanoni203: من هو معاذ؟
طيارأردني
يعني مسلم؟
وش جابه للرقة؟
ينفذطلعات للتحالف
أي تحالف؟
الأمريكي العربي
يعني مرتد؟
وليش قتلوه؟
ياليييل ما اطولك....",1,ar,"RT @katfqanoni203: Who is Moaz?
Pilot
Means a Muslim?
What did he have to tear?
Excellents for the alliance
Any alliance?
Arab American
I mean an apostate?
Why did they kill him?
Hey, what's the longest ....",,
5.55352651483718E+017,"RT @GenjuroKibagami: #WhoIsMuhammad
Inilah Nabi Muhammad صلى ا لله عليه وسلم menurut Tokoh-tokoh
http://t.co/3tnzjScIFK",1,jv,"RT @genjuroKibagami: #whoismamad
The Prophet Muhammad is صلى ا لله عليه وسلل figure on
http://t.co/3tnzjscifk",,
5.61607866197365E+017,@Detectives_88 ترى ما خرب على الشعب الى المتجنسين ومهما صار يمدحون ويحبون ال سلول حتى لو وضع مراقص وخمور #حقيقه http://t.co/TAc53A7H8w,1,ar,@Detectives,,
5.61861256806547E+017,"RT @sameeraalduheem: للتو خرجنا من زيارة #الشيخ_خالد_الراشد 
لا جديد عنده
#يارب بلغنا بقدرتك صبرا وثباتا وفرجا 
#من_أخبار_الشيخ_خالد_الراشد  
#خالد_الراشد",1,ar,"RT @sameraalduheem: We just got out of the visit #Sheikh_ Khaled_Arch
There is nothing new
#Lord, we have reached your ability, patience, steadfastness and relief
#From the news of Sheikh_ Khaled_Add Al -Rashid
#Khaled Al-Rashed",,
5.5488186944009E+017,@AbuAustral Al Haqq Media,1,en,@AbuAustral Al Haqq Media,,
5.56167384084783E+017,"They will give the benefit of the doubt to the apostate rulers.
But if they hear a plate break they will issue a fatwa to kill mujahideen",1,en,"They will give the benefit of the doubt to the apostate rulers.
But if they hear a plate break they will issue a fatwa to kill mujahideen",,
5.55725451323507E+017,AlAzm center : Message to the Crusader alliance | cybercaliphate: http://t.co/pvwdTmGCpX via @YouTube,1,en,AlAzm center : Message to the Crusader alliance | cybercaliphate: http://t.co/pvwdTmGCpX via @YouTube,,
6.07453053873066E+017,"@ismail_yasa 
الفال لجميع الدول العربية إن شاء الله تختار نوابها وحكوماتها، #تركيا سبقت المنطقة بمراحل.. اللهم وفقها لنهضة وتنمية وعدالة",1,ar,"@ismail_yasa
Al -Fal for all Arab countries, God willing, will choose its deputies and governments, #Turkey preceded the region in stages .. Oh God, according to renaissance, development and justice",,
5.54686258526839E+017,Jabhat Al Nusra | Qalmoun | In result to the security break down in Lebanon you will hear surprises in the fate of prisoners of war we hold.,1,en,Jabhat Al Nusra | Qalmoun | In result to the security break down in Lebanon you will hear surprises in the fate of prisoners of war we hold.,,
7.1313734017314E+017,"RT @made0in0war: 1-حشد الجيش الصفوي عدد كبير من القوات لمعركة حمص مستفيدين من الهدنة مع الفصائل ,فقد تم سحب القوات من جبهات الفصائل في حلب,الساحل,دمشق و درعا",1,ar,"RT @Made0in0war: 1- The Safavid army crowd a large number of forces for the battle of Homs, benefiting from the armistice with the factions. The forces were withdrawn from the fronts of the factions in Aleppo, the coast, Damascus and Daraa",,
5.63398877655884E+017,@IbnNabih1 @ahmedshaheed97 !!!! http://t.co/rTUXSi7KvM,1,ar,@Ibnabih1 @ahmedshaheed97 !!!! http://t.co/RTUXSI7KVM,,
5.55054677549941E+017,http://t.co/y8hzEGiyWt,1,und,http://t.co/y8hzEGiyWt,,
7.12410110321099E+017,"سبحان الذي نصر عبده واعزّ جنده 
وهزم الاحزاب وحده
#غزوة_بروكسل
#Brussels
#Bruxelles
#brusselsattack
#ISIS https://t.co/KDar20D3Zh",1,ar,"Glory be to the one who helped his servant and dearest his soldiers
The parties were defeated alone
#Battle of Brussels
#Brussels
#BRUXELLES
#Brusselsttack
#Isis https://t.co/kdar20d3zh",,
5.63104232887558E+017,"@hessammhamad @AbuMusaBinKh @Abuazzam13 @Abu_Baraa1 he is not muslim ! .
He loves his nationality more than Islam",1,en,"@hessammhamad @AbuMusaBinKh @Abuazzam13 @Abu_Baraa1 he is not muslim ! .
He loves his nationality more than Islam",,
6.63811716896137E+017,"#Save_AlAqsa: #Palestine:  IDF occupation forces shot and wounded at least 2,617 Palestinians in October 2015.... https://t.co/72AAWTEiEe",1,en,"#Save_AlAqsa: #Palestine:  IDF occupation forces shot and wounded at least 2,617 Palestinians in October 2015.... https://t.co/72AAWTEiEe",,
5.55439492484842E+017,@SuspendedAccts @Protocol_Shami @Colonel_Shami @IbnAmghar9 @y__dohak @Al_Jabali_4 @hazmansaar @Haqqqseeker @treecatapple @dewla__account,1,bn,@Suspendedaccts @protocol_shami @colonel_Shami @Ibnamghar9 @Yhak @al_jabali_4 @hazmansaar @trecatapple @Dewla__account,,
7.5377638394862E+017,"RT @Rita_Katz: According to reports, #Nice #France attacker (31) originally from #Tunisia",1,en,"RT @Rita_Katz: According to reports, #Nice #France attacker (31) originally from #Tunisia",,
7.20033795080978E+017,RT @AdamHasakah17: https://t.co/wszfpgsPd5,1,ga,RT @adamhasakah17: https://t.co/wszfpgspd5,,
5.71252975076708E+017,"http://t.co/xoaN8kWUvB 
usud al sharqiya killed IS mujahideen in deir az zour and say these are presents for SAA general issam zahredeen",1,en,"http://t.co/xoaN8kWUvB 
usud al sharqiya killed IS mujahideen in deir az zour and say these are presents for SAA general issam zahredeen",,
5.55490741661626E+017,"#pt Mujahid:""Islam is a religion of peace,but its a religion of justice,whoever has assaulted us,then we assault 'em"" http://t.co/AvvqNPdncI",1,en,"#pt Mujahid:""Islam is a religion of peace,but its a religion of justice,whoever has assaulted us,then we assault 'em"" http://t.co/AvvqNPdncI",,
5.54575752742842E+017,RT @uygaraktas: Abbas poses in Paris while thousands of #Palestinians are threatened with death in #Syria http://t.co/sJfgngTOkl,1,en,RT @uygaraktas: Abbas poses in Paris while thousands of #Palestinians are threatened with death in #Syria http://t.co/sJfgngTOkl,,
5.55226667581731E+017,RT @JihadiA6: :) http://t.co/9Lhy1WWIp9,1,ar,RT @jihadia6 :) http://t.co/9Lhy1wwip9,,
5.5567966099107E+017,@TheVictoryFront akh need 2 DM,1,en,@TheVictoryFront akh need 2 DM,,
6.64490965386687E+017,RT. Follow and Support. Jzk Brother and Sisters.  https://t.co/a56Mjuaz75,1,en,RT. Follow and Support. Jzk Brother and Sisters.  https://t.co/a56Mjuaz75,,
5.53573005251863E+017,@Dz_Bara_ah partagez partout,1,fr,@Dz_bara_ah Share everywhere,,
2839024889453596516.M,"# Shias, If #mutah is considered as marriage then urine becomes drinking water...
#SeedhiBaat
1 retweet 0 likes
Reply   Retweet  1   
Like  
More
 Azhar Imtiya",1,en,"# Shias, If #mutah is considered as marriage then urine becomes drinking water...
#SeedhiBaat
1 retweet 0 likes
Reply   Retweet  1   
Like  
More
 Azhar Imtiya",,
7.48029302206243E+017,"RT @Hebzjja: @Horouf_TnT_3 
 جزيت الجنه ...",1,ar,"RT @Hebzjja: @horouf_tnt_3
 Paradise was rewarded ...",,
6.66384874924823E+017,Subhana'Allaah I've never seen so many suspensions in one day. Support each other ☝,1,en,Subhana'Allaah I've never seen so many suspensions in one day. Support each other ☝,,
5.56504446793163E+017,"Wilayat #Kirkuk
DAWLA'S SNIPER http://t.co/Ur8DLNgAqU",1,ar,"Wilayat #kirkuk
Dawla's sniper http://t.co/ur8dlngaquu",,
7.12824396524728E+017,"#أخبار_الخلافة
#ولاية_الأنبار

جانب من عمل مركز الدعوة والمساجد - إقامة مسابقة لتعلم فن الخطابة في مدينة #هيت https://t.co/HpKBdmLnww",1,ar,"#Caliphate News
#Al -Anbar

Part of the work of the Da`wah and Mosques Center - Establishing a competition to learn the art of public speaking in the city of Hit",,
5.62602503477686E+017,"We haven't even reached a £1000 for our mother 😞 don't abandon her, please donate for the sake of Allaah. http://t.co/RgoioeTxnt",1,en,"We haven't even reached a £1000 for our mother 😞 don't abandon her, please donate for the sake of Allaah. http://t.co/RgoioeTxnt",,
5.55503270203257E+017,@th3killingmoon @speaker1970 @NoosiMsooNs @lortkipanidzeme http://t.co/y3NUnxhtvt,1,en,@th3killingmoon @speaker1970 @NoosiMsooNs @lortkipanidzeme http://t.co/y3NUnxhtvt,,
6.66249259193393E+017,"📚 |•

•| مقالة جديدة

•| أرثِيكِي أُمتِي فـأُعـذِرينِـي

✏ | أسْألـ الله الشَهادة @qq0p9

https://t.co/PLAG0m1KXT https://t.co/rnvpx7cjMb",1,ar,"📚 | •

• | New article

• | My inheritance is my death, so excuse me

✏ | I ask God the testimony @QQ0p9

https://t.co/plag0m1kxt https://t.co/rnvx7cjmb",,
5.63544624698901E+017,RT @rashedha111: أحسن الله عزاءالمسلمين عامة وأهل اليمن خاصة في مقتل الشيخ حارث وأخلف الله الأميرالصابرالمحتسب الشيخ بصيرالوحيشي خيرا وإنالله وإناإليه راجعون,1,ar,"RT @rashedha111: May God bless the condolences of Muslims in general and the people of Yemen in particular in the killing of Sheikh Hareth, and may God bless the prince, the patient, the calculated Sheikh Basir Al -Dahishi, and God is good.",,
7.53350881366585E+017,@alras_88 @Abou_djaafar هاذا كله رسمي و لم ينفيه اسيادك المرتدين، و ليست رسومات او فوطيشوبات للاطفال https://t.co/2VjqdWo79I,1,ar,"@Alras_88 @abou_djaafar This is all official and not denying your apostates, and not drawings or niche for children https://t.co/2vjqdwo79i",,
7.3470589379586E+017,"Shia militia regiment commander sent to hell in Fallujah.

Their graveyard. https://t.co/7VUOLr8Zws",1,en,"Shia militia regiment commander sent to hell in Fallujah.

Their graveyard. https://t.co/7VUOLr8Zws",,
